Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.060118	2.047646	0.005458	2.310946	17.487267	2.307088	17.955112	
1.938590	1.890751	0.006418	2.260378	25.466893	2.260004	22.942643	
1.979076	1.847843	0.010466	2.259165	24.278438	2.259445	24.438903	
2.068414	1.876026	0.011053	2.253087	25.466893	2.254223	24.937656	
2.112575	1.877963	0.010463	2.241900	23.599321	2.242831	24.189526	
2.165332	1.904083	0.009535	2.229704	21.052632	2.230258	21.446384	
2.225491	1.921518	0.009417	2.215706	20.882852	2.216906	20.698254	
2.255523	1.929044	0.008738	2.201421	20.882852	2.202263	20.698254	
2.282526	1.945472	0.007939	2.186473	20.882852	2.188213	20.698254	
2.387565	2.035112	0.007437	2.174385	20.882852	2.176339	20.698254	
2.457038	2.104814	0.006727	2.163744	20.882852	2.165401	20.698254	
2.435235	2.054736	0.006623	2.153211	20.882852	2.153962	20.698254	
2.581087	2.179441	0.006451	2.146405	20.882852	2.148096	20.698254	
2.563609	2.084445	0.007113	2.140904	20.882852	2.143015	20.698254	
2.539300	2.100832	0.006066	2.134639	20.882852	2.138691	20.698254	
